,Crude marriage rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Marriages per 1000 people, 1960-2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marriages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Note,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,3,..,..,..,..,..,..,..,..,..,..,8.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.9,7.0,6.9,7.0,7.1,6.8,6.5,6.4,6.6,6.7,6.5,6.3,6.5,6.7,6.6,6.4,6.3,6.2,6.1,5.9,5.9,6.3,6.5,6.8,6.5,6.3,6.6,6.4,6.5,6.2,6.4,6.2,5.7,5.6,5.3,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,,7.7,7.9,8.0,8.2,8.1,7.7,7.3,7.2,7.0,7.2,7.3,7.5,7.7,7.6,7.3,6.7,6.4,6.2,5.9,5.8,5.7,5.6,5.5,5.4,5.3,5.3,5.3,5.4,5.6,5.7,5.6,5.5,5.5,5.3,5.1,5.1,4.9,4.9,4.9,4.9,5.0,4.6,4.7,4.6,4.3,4.3,4.2,4.3,4.2,3.9,3.7,3.4,3.5,3.2,3.1,3.2,3.4,3.2,3.2,3.1,1.6,,,,,"217,700","204,830","208,947","194,057","189,765","194,377","203,258","191,287","195,778","184,088","96,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,,9.3,..,..,9.7,9.9,9.7,9.5,9.6,9.5,9.6,10.0,10.5,10.4,9.9,9.1,8.5,7.8,7.2,6.9,6.8,6.7,6.6,6.6,6.4,6.2,6.1,5.9,5.7,5.8,5.8,5.9,6.0,6.1,6.4,6.3,6.4,6.4,6.2,6.3,6.1,6.4,6.4,6.0,5.9,5.7,5.7,5.8,5.7,5.8,5.6,5.5,5.2,5.3,5.3,5.1,5.1,5.0,4.9,4.7,4.8,4.3,,,,,"700,222","661,898","668,870","660,622","643,783","635,225","620,707","606,952","586,481","599,007","525,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,Korea,,..,..,..,..,..,..,..,..,..,..,9.2,7.3,7.3,7.6,7.5,8.0,8.0,8.3,9.3,9.4,10.6,10.5,9.9,10.3,9.5,9.4,9.5,9.4,9.8,9.7,9.3,9.6,9.6,9.0,8.7,8.7,9.4,8.4,8.0,7.6,7.0,6.7,6.3,6.3,6.4,6.5,6.8,7.0,6.6,6.2,6.5,6.6,6.5,6.4,6.0,5.9,5.5,5.2,5.0,4.7,4.2,,,,,,,,,,"302,828","281,635","264,455","257,622","239,159","213,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,,11.0,10.5,10.0,9.5,8.6,8.8,9.8,9.9,10.2,10.0,10.2,10.0,9.4,9.8,10.0,10.0,9.6,10.0,10.2,10.0,9.8,9.8,9.7,9.5,9.2,9.3,9.7,9.7,9.5,9.2,8.9,8.4,7.2,5.7,4.6,4.5,3.9,4.0,4.0,3.9,3.9,4.0,4.2,4.4,4.6,5.6,6.6,7.0,5.9,4.6,4.4,5.2,5.5,5.7,6.3,6.9,6.6,6.8,6.8,6.7,5.6,,,,,"9,290","10,760","11,244","11,436","12,515","13,617","13,002","13,150","13,058","12,861","10,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,,10.1,9.9,9.3,8.7,8.6,8.4,9.2,9.2,9.5,9.7,9.5,9.2,8.8,8.8,8.8,9.0,9.0,9.2,9.1,9.4,9.2,9.1,9.4,9.6,9.7,9.7,9.9,9.7,9.6,9.4,9.8,9.2,8.1,6.4,6.4,6.1,5.7,5.3,5.2,5.1,4.8,4.5,4.7,5.0,5.7,6.0,6.5,7.1,7.5,6.5,6.0,6.3,6.9,6.9,7.6,7.6,7.4,7.5,7.0,7.0,5.5,,,,,"18,688","19,221","20,660","20,469","22,142","21,987","21,347","21,186","19,734","19,502","15,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,,7.1,7.0,6.7,6.6,6.6,6.6,6.6,6.4,6.5,6.6,6.4,6.5,6.6,5.9,6.2,6.8,6.2,6.2,5.9,5.7,5.9,5.4,5.7,5.4,5.4,5.4,5.1,5.3,5.6,5.8,6.1,6.7,6.4,6.0,5.8,5.1,5.1,4.8,4.8,4.9,4.9,4.5,4.5,4.4,4.4,4.4,4.1,4.1,3.9,3.5,3.5,3.3,3.4,3.2,3.0,3.6,3.2,3.2,3.1,3.5,2.9,,,,,"1,749","1,714","1,782","1,722","1,657","2,052","1,884","1,908","1,898","2,143","1,803","1,945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,,..,..,..,..,..,..,..,..,..,..,7.0,..,..,..,..,..,..,..,..,..,7.1,..,..,..,..,7.4,..,..,..,..,7.4,7.4,7.4,7.2,7.2,7.0,7.0,7.3,7.2,7.5,7.0,6.5,6.0,5.6,5.7,5.6,5.4,5.4,5.3,5.0,5.0,4.9,5.0,4.9,4.8,4.6,4.4,4.3,4.0,4.0,2.6,,,,,"568,632","570,954","585,434","583,264","577,713","558,022","543,749","528,678","501,298","504,923","335,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands,,7.7,7.9,7.9,7.9,8.5,8.8,9.0,9.1,9.2,9.1,9.5,9.3,8.8,8.0,8.1,7.3,7.0,6.7,6.4,6.1,6.4,6.0,5.8,5.4,5.6,5.7,6.0,6.0,6.0,6.2,6.5,6.4,6.2,5.8,5.4,5.3,5.5,5.4,5.5,5.7,5.5,5.0,5.2,4.9,4.4,4.4,4.4,4.3,4.5,4.4,4.5,4.3,4.2,3.8,3.9,3.8,3.8,3.8,3.7,3.7,2.9,,,,,"75,399","71,572","70,315","64,549","65,333","64,308","65,249","64,402","64,315","63,565","50,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,2,8.0,8.0,7.9,7.8,8.0,8.2,8.6,8.6,8.7,9.0,9.2,9.5,9.2,8.8,8.4,7.9,7.7,7.2,7.1,7.1,7.3,7.5,8.0,7.7,7.8,7.5,7.3,7.4,7.1,6.8,6.9,6.3,5.9,5.8,5.7,5.6,5.5,5.3,5.3,5.5,5.4,5.1,5.2,5.3,5.1,5.0,5.2,5.2,5.2,5.1,4.9,4.7,4.7,4.4,4.4,4.3,4.2,4.3,4.2,3.8,3.3,3.1,,,,"21,213","20,532","20,826","19,425","20,175","19,950","20,235","20,685","20,949","19,071","16,779","15,657",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
