Entity,Year,Birth rate - Sex: all - Age: all - Variant: estimates,GDP per capita,Urban population (% of total population),"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","Physicians (per 1,000 people)",Human Development Index
Australia,1950,23.086,11815.0,,,,
Australia,1951,22.819,11966.0,,,,
Australia,1952,23.287,11824.0,,,,
Australia,1953,22.874,11963.0,,,,
Australia,1954,22.338,12419.0,,,,
Australia,1955,22.376,12795.0,,,,
Australia,1956,22.331,12924.0,,,,
Australia,1957,22.584,12895.0,,,,
Australia,1958,22.336,13238.0,,,,
Australia,1959,22.232,13753.0,,,,
Australia,1960,22.127,14013.0,81.529,,,
Australia,1961,22.586,13793.0,81.941,,1.1,
Australia,1962,21.825,14389.0,82.228,,,
Australia,1963,21.32,14983.0,82.511,,,
Australia,1964,20.281,15699.0,82.792,,,
Australia,1965,19.438,16182.0,83.068,,,
Australia,1966,19.131,16324.0,83.34,,1.2,
Australia,1967,19.269,17108.0,83.507,,,
Australia,1968,19.898,17770.0,83.672,,,
Australia,1969,20.305,18428.0,83.836,,,
Australia,1970,20.405,19166.0,83.999,,,
Australia,1971,21.534,19590.0,84.16,,1.2,
Australia,1972,20.515,19772.0,84.32,,,
Australia,1973,18.907,20527.0,84.478,,,
Australia,1974,18.265,20698.0,84.636,,,
Australia,1975,17.191,20993.0,84.792,,,
Australia,1976,16.22,21613.0,84.947,,1.5,
Australia,1977,15.981,21592.0,85.1,,,
Australia,1978,15.643,21948.0,85.252,,,
Australia,1979,15.357,22826.0,85.403,,,
Australia,1980,15.34,22972.0,85.552,,,
Australia,1981,15.735,23368.0,85.7,,1.8,
Australia,1982,15.8,22972.0,85.67,,,
Australia,1983,15.762,22697.0,85.641,,,
Australia,1984,15.252,24009.0,85.611,,1.8,
Australia,1985,15.424,24927.0,85.582,,1.9,
Australia,1986,15.168,25116.0,85.552,,2.0,
Australia,1987,14.97,25971.0,85.522,,2.1,
Australia,1988,14.866,26702.0,85.493,,2.1,
Australia,1989,14.876,27407.0,85.463,,2.1,
Australia,1990,15.369,27373.0,85.433,,2.17,0.864
Australia,1991,14.944,26861.275,85.403,51.957,2.336,0.866
Australia,1992,15.092,27560.178,85.285,51.921,2.374,0.868
Australia,1993,14.762,28622.477,85.157,51.688,2.399,0.873
Australia,1994,14.51,29844.172,85.028,52.589,2.438,0.873
Australia,1995,14.157,30690.062,84.898,53.588,2.476,0.882
Australia,1996,13.873,31740.47,84.767,53.78,2.403,0.884
Australia,1997,13.602,32857.992,84.636,53.571,2.401,0.887
Australia,1998,13.327,34337.14,84.503,53.628,2.402,0.891
Australia,1999,13.175,35551.02,84.37,53.619,2.447,0.894
Australia,2000,13.042,36603.047,84.235,54.504,2.491,0.896
Australia,2001,12.711,37275.992,84.1,55.049,2.566,0.9
Australia,2002,12.783,38567.066,84.222,55.255,2.562,0.902
Australia,2003,12.668,39523.656,84.343,55.926,2.631,0.906
Australia,2004,12.71,40887.727,84.463,55.691,2.708,0.908
Australia,2005,13.06,41904.445,84.582,56.977,2.78,0.911
Australia,2006,13.19,42650.984,84.7,57.539,2.842,0.914
Australia,2007,13.861,44033.582,84.822,58.09,3.008,0.916
Australia,2008,14.036,44421.64,84.943,58.545,3.018,0.92
Australia,2009,13.74,44686.543,85.063,58.76,3.121,0.922
Australia,2010,13.618,45400.223,85.182,58.626,3.364,0.924
Australia,2011,13.422,46132.0,85.3,58.875,3.314,0.927
Australia,2012,13.492,47045.13,85.402,58.779,3.311,0.931
Australia,2013,13.211,47260.953,85.502,58.696,3.374,0.929
Australia,2014,12.726,47753.848,85.602,58.664,3.45,0.931
Australia,2015,12.756,48145.53,85.701,59.108,3.505,0.933
Australia,2016,12.727,48675.137,85.8,59.343,3.577,0.936
Australia,2017,12.459,49001.902,85.904,59.848,3.677,0.937
Australia,2018,12.5,49614.387,86.012,60.505,3.747,0.941
Australia,2019,11.981,49814.67,86.124,60.957,3.827,0.941
Australia,2020,11.465,48268.945,86.241,60.192,4.102,0.948
Australia,2021,11.718,50704.934,86.362,61.216,,0.949
Australia,2022,11.58,52049.43,86.488,61.332,,0.946
Australia,2023,11.506,,,,,
Austria,1950,15.5,5907.0,,,,
Austria,1951,14.944,6311.0,,,,
Austria,1952,14.948,6323.0,,,,
Austria,1953,14.848,6594.0,,,,
Austria,1954,14.916,7261.0,,,,
Austria,1955,15.539,8054.0,,,,
Austria,1956,16.533,8603.0,,,,
Austria,1957,16.919,9111.0,,,,
Austria,1958,17.145,9416.0,,,,
Austria,1959,17.731,9645.0,,,,
Austria,1960,17.87,10391.0,64.72,,1.2,
Austria,1961,18.595,10882.0,64.814,,1.4,
Austria,1962,18.707,11078.0,64.863,,1.4,
Austria,1963,18.79,11454.0,64.913,,1.4,
Austria,1964,18.472,12062.0,64.962,,1.4,
Austria,1965,17.847,12328.0,65.011,,1.4,
Austria,1966,17.617,12930.0,65.061,,1.4,
Austria,1967,17.311,13225.0,65.11,,1.4,
Austria,1968,17.019,13742.0,65.159,,1.4,
Austria,1969,16.275,14555.0,65.208,,1.4,
Austria,1970,15.027,15537.0,65.258,,1.4,
Austria,1971,14.375,16259.0,65.301,,1.4,
Austria,1972,13.679,17169.0,65.311,,1.4,
Austria,1973,12.819,17908.0,65.321,,1.4,
Austria,1974,12.798,18583.0,65.331,,1.4,
Austria,1975,12.371,18564.0,65.341,,1.5,
Austria,1976,11.494,19448.0,65.351,,1.5,
Austria,1977,11.234,20350.0,65.361,,1.5,
Austria,1978,11.246,20293.0,65.371,,1.5,
Austria,1979,11.421,21436.0,65.381,,1.6,
Austria,1980,12.015,21932.0,65.391,,,
Austria,1981,12.377,21866.0,65.364,,,
Austria,1982,12.547,22254.0,65.1,,,
Austria,1983,11.948,22944.0,64.836,,,
Austria,1984,11.826,23016.0,64.57,,,
Austria,1985,11.591,23514.0,64.305,,,
Austria,1986,11.526,24039.0,64.037,,,
Austria,1987,11.502,24409.0,63.769,,,
Austria,1988,11.66,25112.0,63.5,,,
Austria,1989,11.654,26078.0,63.231,,,
Austria,1990,11.76,26930.0,62.96,,3.009,0.823
Austria,1991,12.149,27689.771,62.689,43.538,3.088,0.826
Austria,1992,12.132,28072.44,62.417,44.845,3.213,0.832
Austria,1993,12.071,28101.229,62.144,45.301,3.296,0.836
Austria,1994,11.69,28780.76,61.87,48.636,3.408,0.841
Austria,1995,11.201,29621.682,61.596,49.391,3.512,0.847
Austria,1996,11.151,30413.156,61.32,48.832,3.589,0.852
Austria,1997,10.554,31173.049,61.045,48.728,3.668,0.856
Austria,1998,10.174,32376.33,60.768,49.343,3.795,0.861
Austria,1999,9.771,33608.297,60.491,49.514,3.789,0.865
Austria,2000,9.742,34796.258,60.213,49.406,3.878,0.87
Austria,2001,9.345,35272.223,59.934,49.36,3.99,0.874
Austria,2002,9.609,35823.586,59.655,50.605,4.061,0.878
Austria,2003,9.389,36063.12,59.375,50.783,4.146,0.88
Austria,2004,9.567,36957.113,59.094,50.639,4.233,0.886
Austria,2005,9.431,37642.76,58.813,51.458,4.35,0.889
Austria,2006,9.354,38866.848,58.532,52.145,4.478,0.893
Austria,2007,9.12,40305.273,58.249,52.99,4.563,0.896
Austria,2008,9.263,40964.793,57.966,53.507,4.628,0.899
Austria,2009,9.104,39463.656,57.683,54.189,4.723,0.898
Austria,2010,9.362,40288.348,57.399,54.285,4.829,0.903
Austria,2011,9.261,41446.0,57.115,54.617,4.876,0.907
Austria,2012,9.302,41540.94,57.147,55.114,4.928,0.909
Austria,2013,9.286,41301.94,57.336,55.379,5.019,0.907
Austria,2014,9.476,41250.508,57.526,55.422,5.077,0.911
Austria,2015,9.669,41255.715,57.715,55.466,5.125,0.91
Austria,2016,9.975,41545.5,57.905,56.016,5.13,0.913
Austria,2017,9.927,42216.918,58.094,56.016,5.183,0.914
Austria,2018,9.66,43032.215,58.297,56.059,5.241,0.917
Austria,2019,9.542,43488.668,58.515,56.15,5.318,0.92
Austria,2020,9.356,40503.04,58.748,55.902,5.352,0.916
Austria,2021,9.518,42184.695,58.995,56.099,5.459,0.92
Austria,2022,9.056,43792.855,59.256,56.555,,0.926
Austria,2023,8.439,,,,,
Belgium,1950,16.701,8706.0,,,,
Belgium,1951,16.308,9161.0,,,,
Belgium,1952,16.593,9035.0,,,,
Belgium,1953,16.617,9274.0,,,,
Belgium,1954,16.763,9610.0,,,,
Belgium,1955,16.761,10010.0,,,,
Belgium,1956,16.85,10237.0,,,,
Belgium,1957,17.033,10353.0,,,,
Belgium,1958,17.171,10268.0,,,,
Belgium,1959,17.369,10533.0,,,,
Belgium,1960,16.943,11081.0,92.46,,1.3,
Belgium,1961,17.274,11561.0,92.554,,1.3,
Belgium,1962,16.811,12087.0,92.679,,1.4,
Belgium,1963,17.088,12532.0,92.835,,1.4,
Belgium,1964,17.069,13295.0,92.988,,1.4,
Belgium,1965,16.401,13643.0,93.137,,1.5,
Belgium,1966,15.812,13989.0,93.284,,1.5,
Belgium,1967,15.2,14461.0,93.428,,1.5,
Belgium,1968,14.715,15009.0,93.569,,1.6,
Belgium,1969,14.668,15969.0,93.707,,1.6,
Belgium,1970,14.701,16914.0,93.843,,,
Belgium,1971,14.599,17486.0,93.976,,1.5,
Belgium,1972,14.002,18336.0,94.106,,1.6,
Belgium,1973,13.256,19399.0,94.233,,1.7,
Belgium,1974,12.644,20153.0,94.358,,1.8,
Belgium,1975,12.201,19831.0,94.48,,1.9,
Belgium,1976,12.289,20916.0,94.6,,1.9,
Belgium,1977,12.351,21025.0,94.806,,2.0,
Belgium,1978,12.407,21605.0,95.005,,2.1,
Belgium,1979,12.519,22094.0,95.196,,2.2,
Belgium,1980,12.556,23060.0,95.381,,2.3,
Belgium,1981,12.513,22760.0,95.535,,2.4,
Belgium,1982,12.195,23071.0,95.637,,2.5,
Belgium,1983,11.897,23071.0,95.737,,2.8,
Belgium,1984,11.732,23644.0,95.835,,2.7,
Belgium,1985,11.575,23873.0,95.93,,2.8,
Belgium,1986,11.862,24221.0,96.023,,2.9,
Belgium,1987,11.887,24772.0,96.115,,3.0,
Belgium,1988,12.094,25905.0,96.204,,3.1,
Belgium,1989,12.19,26690.0,96.292,,3.2,
Belgium,1990,12.43,27412.0,96.377,,3.268,0.814
Belgium,1991,12.54,27848.305,96.461,37.97,3.331,0.818
Belgium,1992,12.381,28199.574,96.542,38.875,3.401,0.835
Belgium,1993,11.949,27857.25,96.622,39.559,3.459,0.849
Belgium,1994,11.512,28706.5,96.7,40.169,3.524,0.857
Belgium,1995,11.4,29370.088,96.777,40.541,3.558,0.864
Belgium,1996,11.436,29820.299,96.851,40.561,3.62,0.87
Belgium,1997,11.372,30894.283,96.924,41.005,3.688,0.874
Belgium,1998,11.158,31480.744,96.996,41.662,3.74,0.876
Belgium,1999,11.125,32571.674,97.065,43.167,2.801,0.879
Belgium,2000,11.303,33719.77,97.129,43.643,2.825,0.884
Belgium,2001,11.157,33923.344,97.186,41.864,2.842,0.889
Belgium,2002,10.885,34419.695,97.241,42.571,2.852,0.891
Belgium,2003,10.918,34588.477,97.296,42.951,2.85,0.893
Belgium,2004,11.173,35740.35,97.35,44.25,2.859,0.899
Belgium,2005,11.308,36338.383,97.403,45.691,2.86,0.901
Belgium,2006,11.507,37051.902,97.454,45.815,2.876,0.904
Belgium,2007,11.578,38082.875,97.505,46.534,2.897,0.907
Belgium,2008,11.759,38117.348,97.555,46.912,2.916,0.909
Belgium,2009,11.667,36998.65,97.603,46.947,2.924,0.91
Belgium,2010,11.762,37739.33,97.651,47.713,2.925,0.913
Belgium,2011,11.52,38130.0,97.698,47.034,2.938,0.914
Belgium,2012,11.385,38173.234,97.744,47.1,2.954,0.915
Belgium,2013,11.159,38169.832,97.789,47.766,2.972,0.917
Belgium,2014,11.049,38599.426,97.833,48.077,2.984,0.922
Belgium,2015,10.747,39160.324,97.876,48.004,3.025,0.924
Belgium,2016,10.668,39456.863,97.919,47.77,3.078,0.927
Belgium,2017,10.435,39940.824,97.961,48.737,3.08,0.931
Belgium,2018,10.264,40471.914,98.001,49.533,3.124,0.933
Belgium,2019,10.217,41155.527,98.041,49.841,3.157,0.936
Belgium,2020,10.014,38763.44,98.079,49.336,3.208,0.93
Belgium,2021,10.169,40970.805,98.117,50.042,6.257,0.938
Belgium,2022,9.775,41872.395,98.153,50.829,,0.942
Belgium,2023,8.682,,,,,
Canada,1950,26.136,11622.0,,,,
Canada,1951,26.194,12007.0,,,,
Canada,1952,26.903,12486.0,,,,
Canada,1953,27.111,12726.0,,,,
Canada,1954,27.483,12272.0,,,,
Canada,1955,27.114,13072.0,,,,
Canada,1956,26.854,13791.0,,,,
Canada,1957,27.069,13719.0,,,,
Canada,1958,26.567,13603.0,,,,
Canada,1959,26.461,13829.0,,,,
Canada,1960,25.832,13952.0,69.061,,,
Canada,1961,25.112,14080.0,69.668,,1.1,
Canada,1962,24.327,14787.0,70.494,,1.2,
Canada,1963,23.621,15248.0,71.307,,1.3,
Canada,1964,22.552,15938.0,72.107,,1.3,
Canada,1965,20.394,16694.0,72.892,,1.3,
Canada,1966,18.516,17448.0,73.642,,1.3,
Canada,1967,17.471,17658.0,74.155,,1.3,
Canada,1968,16.94,18297.0,74.662,,1.3,
Canada,1969,16.939,18988.0,75.161,,1.4,
Canada,1970,16.607,19207.0,75.654,,1.4,
Canada,1971,15.934,20024.0,76.09,,1.5,
Canada,1972,15.146,20837.0,75.971,,1.6,
Canada,1973,14.795,22058.0,75.851,,1.6,
Canada,1974,14.77,22643.0,75.731,,1.6,
Canada,1975,15.05,22819.0,75.611,,1.7,
Canada,1976,14.942,23754.0,75.503,,1.7,
Canada,1977,14.922,24265.0,75.543,,1.7,
Canada,1978,14.723,24994.0,75.583,,1.8,
Canada,1979,14.801,25775.0,75.623,,1.8,
Canada,1980,14.79,25784.0,75.663,,1.8,
Canada,1981,14.66,26256.0,75.712,,1.8,
Canada,1982,14.625,25151.0,75.874,,1.9,
Canada,1983,14.558,25625.0,76.035,,1.9,
Canada,1984,14.551,26836.0,76.195,,1.9,
Canada,1985,14.357,28025.0,76.354,,2.0,
Canada,1986,14.089,28472.0,76.502,,2.0,
Canada,1987,13.83,29246.0,76.522,,2.1,
Canada,1988,13.876,30275.0,76.542,,2.1,
Canada,1989,14.208,30458.0,76.562,,2.1,
Canada,1990,14.501,30082.0,76.582,,2.1,0.861
Canada,1991,14.433,29151.697,76.62,58.42,2.1,0.865
Canada,1992,14.097,29141.191,76.887,57.834,2.1,0.869
Canada,1993,13.616,29657.574,77.152,57.66,2.2,0.867
Canada,1994,13.328,30745.822,77.414,57.518,2.1,0.873
Canada,1995,12.916,31330.72,77.675,57.475,2.1,0.877
Canada,1996,12.351,31594.242,77.951,57.462,2.1,0.88
Canada,1997,11.664,32709.691,78.34,57.787,2.1,0.88
Canada,1998,11.322,33785.746,78.724,58.388,1.8611,0.88
Canada,1999,11.05,35345.723,79.103,58.914,2.1,0.884
Canada,2000,10.674,36942.562,79.478,59.4,,0.89
Canada,2001,10.685,37307.207,79.81,59.756,1.8871,0.893
Canada,2002,10.459,38123.99,79.888,60.911,1.8969,0.895
Canada,2003,10.516,38559.977,79.967,61.894,,0.897
Canada,2004,10.493,39491.57,80.045,61.991,1.8971,0.901
Canada,2005,10.568,40485.02,80.122,61.659,,0.903
Canada,2006,10.825,41247.15,80.213,61.883,1.9086,0.907
Canada,2007,11.098,41806.863,80.396,62.505,,0.907
Canada,2008,11.28,41896.426,80.578,62.551,1.959,0.909
Canada,2009,11.241,40312.62,80.758,62.426,,0.91
Canada,2010,11.049,41209.426,80.937,62.407,2.0384,0.911
Canada,2011,10.967,42197.0,81.096,62.161,,0.914
Canada,2012,10.968,42476.344,81.137,62.121,2.3962,0.921
Canada,2013,10.843,43008.83,81.178,62.171,2.4509,0.923
Canada,2014,10.835,43800.64,81.218,61.547,2.4961,0.925
Canada,2015,10.694,43761.527,81.259,61.213,2.5388,0.927
Canada,2016,10.551,43702.08,81.3,61.274,2.3105,0.928
Canada,2017,10.266,44493.652,81.35,61.476,2.6102,0.929
Canada,2018,10.035,45087.887,81.411,61.292,2.428,0.93
Canada,2019,9.855,45284.215,81.482,61.437,2.435,0.932
Canada,2020,9.49,42493.63,81.562,59.509,2.433,0.928
Canada,2021,9.616,44379.594,81.653,60.622,2.464,0.934
Canada,2022,9.136,45529.645,81.752,60.947,,0.935
Canada,2023,9.078,,,,,
Chile,1950,37.509,5880.0,,,,
Chile,1951,37.314,6001.0,,,,
Chile,1952,37.123,6252.0,,,,
Chile,1953,37.066,6582.0,,,,
Chile,1954,36.897,6237.0,,,,
Chile,1955,36.844,6341.0,,,,
Chile,1956,36.824,6285.0,,,,
Chile,1957,36.48,6758.0,,,,
Chile,1958,36.108,6958.0,,,,
Chile,1959,35.734,6409.0,,,,
Chile,1960,35.309,6781.0,67.836,,0.559,
Chile,1961,34.792,6923.0,68.66,,,
Chile,1962,34.284,7071.0,69.435,,,
Chile,1963,33.704,7336.0,70.2,,,
Chile,1964,33.056,7320.0,70.955,,,
Chile,1965,32.366,7208.0,71.696,,0.473,
Chile,1966,31.654,7844.0,72.427,,,
Chile,1967,30.925,7933.0,73.146,,,
Chile,1968,30.184,8053.0,73.854,,,
Chile,1969,29.454,8187.0,74.547,,,
Chile,1970,28.77,8195.0,75.227,,0.463,
Chile,1971,28.077,8773.0,75.883,,,
Chile,1972,27.436,8520.0,76.528,,,
Chile,1973,26.782,7911.0,77.159,,,
Chile,1974,26.093,7857.0,77.778,,,
Chile,1975,25.482,6731.0,78.386,,,
Chile,1976,24.933,6868.0,78.982,,,
Chile,1977,24.453,7438.0,79.565,,,
Chile,1978,24.007,7936.0,80.136,,,
Chile,1979,23.55,8475.0,80.695,,0.516,
Chile,1980,23.234,9024.0,81.243,,,
Chile,1981,22.951,9427.0,81.778,,,
Chile,1982,22.721,8016.0,82.226,,,
Chile,1983,22.588,7667.0,82.359,,,
Chile,1984,22.533,7992.0,82.492,,0.817,
Chile,1985,22.499,8024.0,82.624,,,
Chile,1986,22.514,8325.0,82.755,,,
Chile,1987,22.506,8721.0,82.885,,,
Chile,1988,22.455,9199.0,83.014,,,
Chile,1989,22.349,10005.0,83.143,,,
Chile,1990,22.136,10203.0,83.271,,1.1,0.705
Chile,1991,21.808,10746.491,83.398,32.017,1.066,0.714
Chile,1992,20.966,11773.301,83.564,33.423,0.99,0.722
Chile,1993,20.413,12296.926,83.896,34.197,,0.716
Chile,1994,19.823,12692.551,84.223,34.756,,0.722
Chile,1995,19.473,13715.933,84.545,35.913,,0.728
Chile,1996,18.753,14433.319,84.861,36.78,,0.735
Chile,1997,17.942,15079.831,85.172,37.516,,0.744
Chile,1998,17.372,15259.541,85.477,37.878,,0.749
Chile,1999,16.655,14846.418,85.778,38.12,,0.756
Chile,2000,16.322,15211.623,86.073,37.724,,0.763
Chile,2001,15.914,15448.009,86.363,36.749,,0.767
Chile,2002,15.249,15509.825,86.606,36.47,0.892,0.775
Chile,2003,14.789,15809.178,86.665,37.823,0.946,0.78
Chile,2004,14.415,16478.973,86.725,39.244,0.984,0.787
Chile,2005,14.23,17137.486,86.783,40.16,0.981,0.795
Chile,2006,13.995,17920.803,86.842,41.317,1.042,0.796
Chile,2007,14.194,18487.9,86.9,42.262,1.039,0.801
Chile,2008,14.353,18804.03,86.959,44.207,1.042,0.812
Chile,2009,14.363,18184.48,87.017,44.645,1.033,0.811
Chile,2010,14.23,18909.848,87.074,45.501,1.438,0.813
Chile,2011,14.017,19705.0,87.132,47.525,1.591,0.816
Chile,2012,13.776,20690.797,87.189,47.775,1.753,0.824
Chile,2013,13.622,21171.06,87.246,47.91,1.887,0.837
Chile,2014,13.473,21337.76,87.303,48.564,2.036,0.841
Chile,2015,13.147,21574.018,87.36,48.431,2.159,0.846
Chile,2016,12.685,21715.713,87.422,48.194,2.31,0.851
Chile,2017,11.763,21709.428,87.49,48.72,2.455,0.854
Chile,2018,11.698,22175.664,87.564,49.287,2.595,0.856
Chile,2019,10.94,21924.408,87.643,49.451,2.649,0.859
Chile,2020,10.097,20205.87,87.727,45.459,2.808,0.849
Chile,2021,9.07,22324.96,87.817,46.599,2.973,0.856
Chile,2022,9.672,22740.72,87.912,50.043,,0.86
Chile,2023,8.963,,,,,
Colombia,1950,46.439,3432.0,,,,
Colombia,1951,46.482,3427.0,,,,
Colombia,1952,46.673,3529.0,,,,
Colombia,1953,46.796,3629.0,,,,
Colombia,1954,46.821,3759.0,,,,
Colombia,1955,46.81,3783.0,,,,
Colombia,1956,46.754,3811.0,,,,
Colombia,1957,46.651,3826.0,,,,
Colombia,1958,46.506,3798.0,,,,
Colombia,1959,46.209,3942.0,,,,
Colombia,1960,45.881,3980.0,46.268,,0.354,
Colombia,1961,45.457,4049.0,47.702,,,
Colombia,1962,44.919,4135.0,49.143,,,
Colombia,1963,44.237,4140.0,50.584,,,
Colombia,1964,43.407,4264.0,52.027,,,
Colombia,1965,42.431,4286.0,52.82,,0.377,
Colombia,1966,41.329,4383.0,53.587,,,
Colombia,1967,40.16,4438.0,54.352,,,
Colombia,1968,38.896,4581.0,55.117,,,
Colombia,1969,37.646,4744.0,55.877,,,
Colombia,1970,36.465,4932.0,56.635,,0.42,
Colombia,1971,35.399,5091.0,57.39,,,
Colombia,1972,34.444,5348.0,58.143,,,
Colombia,1973,33.695,5577.0,58.89,,,
Colombia,1974,33.108,5767.0,59.607,,,
Colombia,1975,32.73,5772.0,60.306,,,
Colombia,1976,32.512,5918.0,61.003,,,
Colombia,1977,32.168,6046.0,61.693,,0.478,
Colombia,1978,31.528,6443.0,62.379,,,
Colombia,1979,31.239,6658.0,63.061,,,
Colombia,1980,31.054,6786.0,63.738,,,
Colombia,1981,30.808,6782.0,64.408,,,
Colombia,1982,30.527,6698.0,65.073,,,
Colombia,1983,29.872,6655.0,65.733,,,
Colombia,1984,28.978,6741.0,66.387,,,
Colombia,1985,28.26,6809.0,67.034,,,
Colombia,1986,27.859,7071.0,67.566,,,
Colombia,1987,27.505,7296.0,68.051,,,
Colombia,1988,27.211,7442.0,68.532,,,
Colombia,1989,27.047,7533.0,69.008,,,
Colombia,1990,26.899,7693.0,69.481,,0.803,0.614
Colombia,1991,26.755,7713.022,69.949,51.171,0.859,0.622
Colombia,1992,26.628,7888.1055,70.415,51.6,0.917,0.631
Colombia,1993,26.486,8180.8706,70.874,52.259,0.958,0.637
Colombia,1994,25.979,8447.857,71.328,52.997,1.003,0.643
Colombia,1995,25.107,8735.884,71.777,53.642,1.049,0.647
Colombia,1996,24.305,8770.583,72.223,53.747,1.09,0.654
Colombia,1997,23.964,8952.473,72.662,54.108,1.133,0.661
Colombia,1998,23.629,8863.262,73.098,53.984,1.18,0.666
Colombia,1999,22.886,8382.14,73.53,53.004,1.218,0.665
Colombia,2000,22.258,8496.792,73.957,53.301,1.26,0.672
Colombia,2001,21.722,8528.033,74.379,53.4,1.285,0.674
Colombia,2002,21.352,8630.542,74.797,52.357,1.317,0.676
Colombia,2003,20.928,8855.218,75.211,53.719,1.348,0.683
Colombia,2004,20.278,9211.279,75.62,52.959,1.387,0.689
Colombia,2005,19.579,9524.723,76.024,51.15,1.429,0.701
Colombia,2006,18.965,10039.684,76.423,50.566,1.467,0.703
Colombia,2007,18.552,10602.305,76.816,49.987,1.509,0.715
Colombia,2008,18.191,10846.737,77.204,50.377,1.561,0.722
Colombia,2009,17.656,10894.103,77.587,53.924,1.616,0.728
Colombia,2010,16.93,11191.687,77.964,54.419,1.664,0.732
Colombia,2011,16.321,11788.0,78.335,54.948,1.726,0.738
Colombia,2012,15.986,12129.81,78.701,56.015,1.785,0.739
Colombia,2013,15.63,12633.481,79.061,55.308,1.853,0.75
Colombia,2014,15.258,12981.565,79.415,55.009,1.93,0.755
Colombia,2015,14.764,13237.291,79.764,55.265,1.991,0.758
Colombia,2016,14.271,13367.445,80.108,54.728,2.057,0.763
Colombia,2017,14.177,13380.643,80.446,54.351,2.131,0.765
Colombia,2018,14.195,13485.702,80.778,53.255,2.202,0.766
Colombia,2019,14.218,13603.993,81.104,52.402,2.259,0.768
Colombia,2020,14.106,12377.135,81.425,51.122,2.325,0.756
Colombia,2021,13.947,13553.399,81.74,51.693,2.362,0.752
Colombia,2022,13.731,14468.964,82.05,50.942,,0.758
Colombia,2023,13.475,,,,,
Denmark,1950,18.614,11067.0,,,,
Denmark,1951,17.895,11056.0,,,,
Denmark,1952,17.81,11086.0,,,,
Denmark,1953,17.917,11623.0,,,,
Denmark,1954,17.413,11749.0,,,,
Denmark,1955,17.384,11788.0,,,,
Denmark,1956,17.243,11858.0,,,,
Denmark,1957,16.746,12696.0,,,,
Denmark,1958,16.393,12903.0,,,,
Denmark,1959,16.09,13767.0,,,,
Denmark,1960,16.552,14046.0,73.687,,,
Denmark,1961,16.518,14843.0,74.417,,,
Denmark,1962,16.701,15537.0,75.093,,,
Denmark,1963,17.613,15513.0,75.757,,,
Denmark,1964,17.646,16832.0,76.409,,,
Denmark,1965,18.054,17459.0,77.048,,,
Denmark,1966,18.356,17789.0,77.619,,,
Denmark,1967,16.83,18230.0,78.163,,,
Denmark,1968,15.348,18868.0,78.698,,,
Denmark,1969,14.574,19974.0,79.222,,,
Denmark,1970,14.383,20221.0,79.737,,,
Denmark,1971,15.151,20617.0,80.239,,,
Denmark,1972,15.072,21579.0,80.731,,,
Denmark,1973,14.317,22228.0,81.211,,,
Denmark,1974,14.131,21919.0,81.683,,,
Denmark,1975,14.189,21712.0,82.146,,,
Denmark,1976,12.88,23059.0,82.6,,,
Denmark,1977,12.174,23360.0,82.886,,,
Denmark,1978,12.089,23632.0,83.169,,,
Denmark,1979,11.599,24409.0,83.448,,,
Denmark,1980,11.138,24272.0,83.723,,,
Denmark,1981,10.398,24063.0,83.915,,,
Denmark,1982,10.243,24807.0,84.025,,,
Denmark,1983,9.947,25450.0,84.134,,,
Denmark,1984,10.118,26581.0,84.243,,,
Denmark,1985,10.475,27710.0,84.351,,,
Denmark,1986,10.758,28681.0,84.458,,,
Denmark,1987,10.961,28728.0,84.565,,,
Denmark,1988,11.467,29049.0,84.671,,,
Denmark,1989,11.933,29108.0,84.777,,,
Denmark,1990,12.302,29412.0,84.843,,2.494,0.839
Denmark,1991,12.478,29915.447,84.871,61.689,2.429,0.843
Denmark,1992,13.013,30573.574,84.898,62.391,2.596,0.845
Denmark,1993,12.971,30649.537,84.925,61.855,2.613,0.848
Denmark,1994,13.319,32359.297,84.952,58.296,2.639,0.854
Denmark,1995,13.243,33356.14,84.979,57.468,2.682,0.857
Denmark,1996,12.833,34325.44,85.006,58.758,2.703,0.864
Denmark,1997,12.747,35499.062,85.033,59.024,2.78,0.871
Denmark,1998,12.446,36361.23,85.06,59.513,2.858,0.878
Denmark,1999,12.411,37523.426,85.086,60.038,2.884,0.888
Denmark,2000,12.496,39021.176,85.1,60.222,2.912,0.89
Denmark,2001,12.173,39425.863,85.15,59.659,2.932,0.897
Denmark,2002,11.921,39709.37,85.25,60.235,3.035,0.896
Denmark,2003,11.961,39983.145,85.36,59.724,3.078,0.901
Denmark,2004,11.918,41178.562,85.566,60.383,3.22,0.906
Denmark,2005,11.826,42264.63,85.856,60.391,3.324,0.911
Denmark,2006,11.882,44025.484,86.098,60.93,3.411,0.911
Denmark,2007,11.672,44481.47,86.293,60.654,3.447,0.912
Denmark,2008,11.729,44246.4,86.487,59.903,3.573,0.915
Denmark,2009,11.336,42090.17,86.654,59.644,3.648,0.909
Denmark,2010,11.313,42932.4,86.795,58.85,3.724,0.913
Denmark,2011,10.578,43575.0,86.957,58.589,3.785,0.927
Denmark,2012,10.299,43509.613,87.142,58.148,3.831,0.931
Denmark,2013,9.923,43743.61,87.292,57.596,3.842,0.933
Denmark,2014,10.023,44215.633,87.41,57.019,3.872,0.932
